,iso_code,region_group,income_group,country,year,category,sex,comp_upsec_v2_m
58329,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2000,Total,,0.425700009
58330,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2001,Total,,0.455000013
58331,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2002,Total,,0.456999987
58332,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2003,Total,,0.477100015
58333,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2004,Total,,0.49180001
58334,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2005,Total,,0.522899985
58335,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2006,Total,,0.567600012
58336,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2007,Total,,0.613499999
58337,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2008,Total,,0.627300024
58338,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2009,Total,,0.660000026
58339,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2010,Total,,0.679899991
58340,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2011,Total,,0.698899984
58341,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2012,Total,,0.686600029
58342,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2013,Total,,0.70539999
58343,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2014,Total,,0.700699985
58344,VNM,Eastern and South-eastern Asia,Lower middle income,Viet Nam,2009,Total,,0.351000011
58345,ZAF,Sub-Saharan Africa,Upper middle income,South Africa,2011,Total,,0.4921
58346,ZAF,Sub-Saharan Africa,Upper middle income,South Africa,2016,Total,,0.485199988
58347,ZMB,Sub-Saharan Africa,Lower middle income,Zambia,2010,Total,,0.300900012
58348,ZMB,Sub-Saharan Africa,Lower middle income,Zambia,2018,Total,,0.289700001
58349,ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe,2019,Total,,0.139699996
58350,ALB,Europe and Northern America,Upper middle income,Albania,2017,Sex,Female,0.818700016
58351,ARG,Latin America and the Caribbean,Upper middle income,Argentina,2010,Sex,Female,0.605099976
58352,BEN,Sub-Saharan Africa,Lower middle income,Benin,2018,Sex,Female,0.053800002
58353,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2019,Sex,Female,0.273400009
58354,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2000,Sex,Female,0.428499997
58355,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2001,Sex,Female,0.485199988
58356,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2002,Sex,Female,0.465299994
58357,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2004,Sex,Female,0.488599986
58358,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2005,Sex,Female,0.573599994
58359,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2006,Sex,Female,0.539699972
58360,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2007,Sex,Female,0.626800001
58361,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2009,Sex,Female,0.620199978
58362,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2011,Sex,Female,0.656099975
58363,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2012,Sex,Female,0.688399971
58364,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2013,Sex,Female,0.771200001
58365,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2014,Sex,Female,0.662800014
58366,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2015,Sex,Female,0.693700016
58367,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2016,Sex,Female,0.712700009
58368,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2017,Sex,Female,0.730099976
58369,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2018,Sex,Female,0.772499979
58370,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2001,Sex,Female,0.489100009
58371,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2002,Sex,Female,0.522800028
58372,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2003,Sex,Female,0.559599996
58373,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2004,Sex,Female,0.577700019
58374,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2018,Sex,Female,0.727299988
58375,CHL,Latin America and the Caribbean,High income,Chile,2002,Sex,Female,0.682299972
58376,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2005,Sex,Female,0.241999999
58377,COG,Sub-Saharan Africa,Lower middle income,Congo,2015,Sex,Female,0.193800002
58378,COL,Latin America and the Caribbean,Upper middle income,Colombia,2002,Sex,Female,0.555400014
58379,COL,Latin America and the Caribbean,Upper middle income,Colombia,2003,Sex,Female,0.564999998
58380,COL,Latin America and the Caribbean,Upper middle income,Colombia,2004,Sex,Female,0.587400019
58381,COL,Latin America and the Caribbean,Upper middle income,Colombia,2008,Sex,Female,0.631500006
58382,COL,Latin America and the Caribbean,Upper middle income,Colombia,2009,Sex,Female,0.637899995
58383,COL,Latin America and the Caribbean,Upper middle income,Colombia,2011,Sex,Female,0.680599988
58384,COL,Latin America and the Caribbean,Upper middle income,Colombia,2012,Sex,Female,0.689599991
58385,COL,Latin America and the Caribbean,Upper middle income,Colombia,2013,Sex,Female,0.70450002
58386,COL,Latin America and the Caribbean,Upper middle income,Colombia,2014,Sex,Female,0.718900025
58387,COL,Latin America and the Caribbean,Upper middle income,Colombia,2017,Sex,Female,0.74970001
58388,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2000,Sex,Female,0.395200014
58389,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2001,Sex,Female,0.399100006
58390,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2002,Sex,Female,0.386200011
58391,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2003,Sex,Female,0.426400006
58392,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2004,Sex,Female,0.424899995
58393,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2005,Sex,Female,0.408499986
58394,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2006,Sex,Female,0.437999994
58395,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2007,Sex,Female,0.444099993
58396,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2008,Sex,Female,0.438699991
58397,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2009,Sex,Female,0.483799994
58398,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2010,Sex,Female,0.511799991
58399,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2012,Sex,Female,0.557299972
58400,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2013,Sex,Female,0.560599983
58401,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2014,Sex,Female,0.606599987
58402,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2015,Sex,Female,0.594900012
58403,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2016,Sex,Female,0.609200001
58404,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2017,Sex,Female,0.641900003
58405,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2000,Sex,Female,0.475199997
58406,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2001,Sex,Female,0.439300001
58407,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2003,Sex,Female,0.485100001
58408,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2004,Sex,Female,0.468199998
58409,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2005,Sex,Female,0.516900003
58410,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2006,Sex,Female,0.574699998
58411,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2008,Sex,Female,0.607299984
58412,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2009,Sex,Female,0.634800017
58413,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2010,Sex,Female,0.6523
58414,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2011,Sex,Female,0.660899997
58415,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2012,Sex,Female,0.640699983
58416,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2015,Sex,Female,0.691299975
58417,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2016,Sex,Female,0.706700027
58418,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2017,Sex,Female,0.716600001
58419,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2018,Sex,Female,0.716199994
58420,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2003,Sex,Female,0.490200013
58421,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2005,Sex,Female,0.509800017
58422,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2006,Sex,Female,0.517799973
58423,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2007,Sex,Female,0.528400004
58424,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2008,Sex,Female,0.579100013
58425,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2009,Sex,Female,0.618300021
58426,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2010,Sex,Female,0.617299974
58427,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2016,Sex,Female,0.6796
58428,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2017,Sex,Female,0.715900004
58429,ECU,Latin America and the Caribbean,Upper middle income,Ecuador,2018,Sex,Female,0.741100013
58430,ETH,Sub-Saharan Africa,Low income,Ethiopia,2007,Sex,Female,0.059
58431,FJI,Oceania,Upper middle income,Fiji,2007,Sex,Female,0.369399995
58432,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2010,Sex,Female,0.113499999
58433,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2018,Sex,Female,0.352600008
58434,GIN,Sub-Saharan Africa,Lower middle income,Guinea,1996,Sex,Female,0.040600002
58435,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2016,Sex,Female,0.143000007
58436,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2018,Sex,Female,0.118500002
58437,GMB,Sub-Saharan Africa,Low income,Gambia,2010,Sex,Female,0.178399995
58438,GMB,Sub-Saharan Africa,Low income,Gambia,2018,Sex,Female,0.247700006
58439,GTM,Latin America and the Caribbean,Upper middle income,Guatemala,2006,Sex,Female,0.233799994
58440,GTM,Latin America and the Caribbean,Upper middle income,Guatemala,2014,Sex,Female,0.340799987
58441,HND,Latin America and the Caribbean,Lower middle income,Honduras,2001,Sex,Female,0.247999996
58442,HND,Latin America and the Caribbean,Lower middle income,Honduras,2004,Sex,Female,0.257699996
58443,HND,Latin America and the Caribbean,Lower middle income,Honduras,2005,Sex,Female,0.273000002
58444,HND,Latin America and the Caribbean,Lower middle income,Honduras,2009,Sex,Female,0.366400003
58445,HND,Latin America and the Caribbean,Lower middle income,Honduras,2010,Sex,Female,0.403800011
58446,HND,Latin America and the Caribbean,Lower middle income,Honduras,2012,Sex,Female,0.426999986
58447,HND,Latin America and the Caribbean,Lower middle income,Honduras,2013,Sex,Female,0.523400009
58448,HND,Latin America and the Caribbean,Lower middle income,Honduras,2014,Sex,Female,0.4199
58449,HND,Latin America and the Caribbean,Lower middle income,Honduras,2015,Sex,Female,0.47240001
58450,HND,Latin America and the Caribbean,Lower middle income,Honduras,2016,Sex,Female,0.43810001
58451,HND,Latin America and the Caribbean,Lower middle income,Honduras,2018,Sex,Female,0.429399997
58452,HTI,Latin America and the Caribbean,Lower middle income,Haiti,2003,Sex,Female,0.071099997
58453,HTI,Latin America and the Caribbean,Lower middle income,Haiti,2017,Sex,Female,0.162400007
58454,IDN,Eastern and South-eastern Asia,Upper middle income,Indonesia,2017,Sex,Female,0.627499998
58455,IRQ,Northern Africa and Western Asia,Upper middle income,Iraq,2018,Sex,Female,0.348500013
58456,JOR,Northern Africa and Western Asia,Lower middle income,Jordan,2018,Sex,Female,0.649600029
58457,KEN,Sub-Saharan Africa,Lower middle income,Kenya,2009,Sex,Female,0.261200011
58458,KHM,Eastern and South-eastern Asia,Lower middle income,Cambodia,2008,Sex,Female,0.1087
58459,KIR,Oceania,Lower middle income,Kiribati,2019,Sex,Female,0.206900001
58460,LAO,Eastern and South-eastern Asia,Lower middle income,Lao PDR,2017,Sex,Female,0.301800013
58461,LBR,Sub-Saharan Africa,Low income,Liberia,2008,Sex,Female,0.0528
58462,MDG,Sub-Saharan Africa,Low income,Madagascar,2018,Sex,Female,0.1505
58463,MDV,Central and Southern Asia,Upper middle income,Maldives,2017,Sex,Female,0.45660001
58464,MEX,Latin America and the Caribbean,Upper middle income,Mexico,2002,Sex,Female,0.411000013
58465,MEX,Latin America and the Caribbean,Upper middle income,Mexico,2004,Sex,Female,0.431400001
58466,MEX,Latin America and the Caribbean,Upper middle income,Mexico,2006,Sex,Female,0.440100014
58467,MEX,Latin America and the Caribbean,Upper middle income,Mexico,2008,Sex,Female,0.468499988
58468,MEX,Latin America and the Caribbean,Upper middle income,Mexico,2010,Sex,Female,0.501299977
58469,MEX,Latin America and the Caribbean,Upper middle income,Mexico,2014,Sex,Female,0.52640003
58470,MEX,Latin America and the Caribbean,Upper middle income,Mexico,2018,Sex,Female,0.608399987
58471,MLI,Sub-Saharan Africa,Low income,Mali,2009,Sex,Female,0.0572
58472,MLI,Sub-Saharan Africa,Low income,Mali,2018,Sex,Female,0.096699998
58473,MWI,Sub-Saharan Africa,Low income,Malawi,2008,Sex,Female,0.104900002
58474,NGA,Sub-Saharan Africa,Lower middle income,Nigeria,2010,Sex,Female,0.385100007
58475,NGA,Sub-Saharan Africa,Lower middle income,Nigeria,2018,Sex,Female,0.433499992
58476,NIC,Latin America and the Caribbean,Lower middle income,Nicaragua,2005,Sex,Female,0.345400006
58477,NIC,Latin America and the Caribbean,Lower middle income,Nicaragua,2014,Sex,Female,0.481900007
58478,PAK,Central and Southern Asia,Lower middle income,Pakistan,2018,Sex,Female,0.231000006
58479,PAN,Latin America and the Caribbean,High income,Panama,2000,Sex,Female,0.558499992
58480,PAN,Latin America and the Caribbean,High income,Panama,2001,Sex,Female,0.489199996
58481,PAN,Latin America and the Caribbean,High income,Panama,2002,Sex,Female,0.510100007
58482,PAN,Latin America and the Caribbean,High income,Panama,2003,Sex,Female,0.538999975
58483,PAN,Latin America and the Caribbean,High income,Panama,2004,Sex,Female,0.567700028
58484,PAN,Latin America and the Caribbean,High income,Panama,2005,Sex,Female,0.587100029
58485,PAN,Latin America and the Caribbean,High income,Panama,2006,Sex,Female,0.590900004
58486,PAN,Latin America and the Caribbean,High income,Panama,2007,Sex,Female,0.596000016
58487,PAN,Latin America and the Caribbean,High income,Panama,2008,Sex,Female,0.611100018
58488,PAN,Latin America and the Caribbean,High income,Panama,2009,Sex,Female,0.620400012
58489,PAN,Latin America and the Caribbean,High income,Panama,2011,Sex,Female,0.637899995
58490,PAN,Latin America and the Caribbean,High income,Panama,2014,Sex,Female,0.623899996
58491,PAN,Latin America and the Caribbean,High income,Panama,2015,Sex,Female,0.660099983
58492,PAN,Latin America and the Caribbean,High income,Panama,2017,Sex,Female,0.721300006
58493,PAN,Latin America and the Caribbean,High income,Panama,2018,Sex,Female,0.713500023
58494,PER,Latin America and the Caribbean,Upper middle income,Peru,2001,Sex,Female,0.590900004
58495,PER,Latin America and the Caribbean,Upper middle income,Peru,2002,Sex,Female,0.632300019
58496,PER,Latin America and the Caribbean,Upper middle income,Peru,2003,Sex,Female,0.634800017
58497,PER,Latin America and the Caribbean,Upper middle income,Peru,2004,Sex,Female,0.673500001
58498,PER,Latin America and the Caribbean,Upper middle income,Peru,2005,Sex,Female,0.622500002
58499,PER,Latin America and the Caribbean,Upper middle income,Peru,2006,Sex,Female,0.717499971
58500,PER,Latin America and the Caribbean,Upper middle income,Peru,2007,Sex,Female,0.730499983
58501,PER,Latin America and the Caribbean,Upper middle income,Peru,2009,Sex,Female,0.74970001
58502,PER,Latin America and the Caribbean,Upper middle income,Peru,2010,Sex,Female,0.774299979
58503,PER,Latin America and the Caribbean,Upper middle income,Peru,2011,Sex,Female,0.794700027
58504,PER,Latin America and the Caribbean,Upper middle income,Peru,2013,Sex,Female,0.820200026
58505,PER,Latin America and the Caribbean,Upper middle income,Peru,2014,Sex,Female,0.823599994
58506,PER,Latin America and the Caribbean,Upper middle income,Peru,2015,Sex,Female,0.820299983
58507,PER,Latin America and the Caribbean,Upper middle income,Peru,2016,Sex,Female,0.836000025
58508,PER,Latin America and the Caribbean,Upper middle income,Peru,2017,Sex,Female,0.860700011
58509,PER,Latin America and the Caribbean,Upper middle income,Peru,2018,Sex,Female,0.867900014
58510,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,2000,Sex,Female,0.661000013
58511,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,2018,Sex,Female,0.834399998
58512,PNG,Oceania,Lower middle income,Papua N. Guinea,2018,Sex,Female,0.159799993
58513,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2001,Sex,Female,0.388900012
58514,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2002,Sex,Female,0.386500001
58515,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2003,Sex,Female,0.453299999
58516,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2004,Sex,Female,0.400599986
58517,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2005,Sex,Female,0.454299986
58518,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2006,Sex,Female,0.547500014
58519,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2007,Sex,Female,0.519999981
58520,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2008,Sex,Female,0.505299985
58521,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2009,Sex,Female,0.601700008
58522,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2010,Sex,Female,0.527999997
58523,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2011,Sex,Female,0.574899971
58524,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2012,Sex,Female,0.632099986
58525,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2013,Sex,Female,0.592199981
58526,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2014,Sex,Female,0.649999976
58527,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2015,Sex,Female,0.621500015
58528,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2017,Sex,Female,0.657599986
58529,PRY,Latin America and the Caribbean,Upper middle income,Paraguay,2018,Sex,Female,0.663500011
58530,RWA,Sub-Saharan Africa,Low income,Rwanda,2002,Sex,Female,0.0363
58531,SEN,Sub-Saharan Africa,Lower middle income,Senegal,2002,Sex,Female,0.071099997
58532,SLE,Sub-Saharan Africa,Low income,Sierra Leone,2004,Sex,Female,0.0086
58533,SLE,Sub-Saharan Africa,Low income,Sierra Leone,2017,Sex,Female,0.147699997
58534,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2000,Sex,Female,0.393599987
58535,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2001,Sex,Female,0.425500005
58536,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2002,Sex,Female,0.417299986
58537,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2003,Sex,Female,0.3838
58538,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2004,Sex,Female,0.411500007
58539,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2005,Sex,Female,0.436300009
58540,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2006,Sex,Female,0.460599989
58541,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2007,Sex,Female,0.324699998
58542,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2009,Sex,Female,0.484400004
58543,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2010,Sex,Female,0.509899974
58544,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2012,Sex,Female,0.531099975
58545,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2013,Sex,Female,0.548300028
58546,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2015,Sex,Female,0.565599978
58547,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2016,Sex,Female,0.572799981
58548,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2017,Sex,Female,0.563300014
58549,SLV,Latin America and the Caribbean,Upper middle income,El Salvador,2018,Sex,Female,0.602299988
58550,SUR,Latin America and the Caribbean,Upper middle income,Suriname,2018,Sex,Female,0.273099989
58551,TGO,Sub-Saharan Africa,Low income,Togo,2017,Sex,Female,0.1193
58552,THA,Eastern and South-eastern Asia,Upper middle income,Thailand,2000,Sex,Female,0.391200006
58553,TJK,Central and Southern Asia,Lower middle income,Tajikistan,2017,Sex,Female,0.625
58554,TUN,Northern Africa and Western Asia,Lower middle income,Tunisia,2018,Sex,Female,0.574400008
58555,TZA,Sub-Saharan Africa,Lower middle income,U. R. Tanzania,2002,Sex,Female,0.0151
58556,UGA,Sub-Saharan Africa,Low income,Uganda,2002,Sex,Female,0.077500001
58557,URY,Latin America and the Caribbean,High income,Uruguay,2008,Sex,Female,0.383599997
58558,URY,Latin America and the Caribbean,High income,Uruguay,2009,Sex,Female,0.397399992
58559,URY,Latin America and the Caribbean,High income,Uruguay,2010,Sex,Female,0.385899991
58560,URY,Latin America and the Caribbean,High income,Uruguay,2011,Sex,Female,0.441900015
58561,URY,Latin America and the Caribbean,High income,Uruguay,2012,Sex,Female,0.408199996
58562,URY,Latin America and the Caribbean,High income,Uruguay,2014,Sex,Female,0.418300003
58563,URY,Latin America and the Caribbean,High income,Uruguay,2015,Sex,Female,0.40959999
58564,URY,Latin America and the Caribbean,High income,Uruguay,2016,Sex,Female,0.434799999
58565,URY,Latin America and the Caribbean,High income,Uruguay,2017,Sex,Female,0.453200012
58566,URY,Latin America and the Caribbean,High income,Uruguay,2018,Sex,Female,0.468199998
58567,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2000,Sex,Female,0.50059998
58568,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2001,Sex,Female,0.525099993
58569,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2002,Sex,Female,0.513499975
58570,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2003,Sex,Female,0.548399985
58571,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2004,Sex,Female,0.557399988
58572,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2005,Sex,Female,0.591600001
58573,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2006,Sex,Female,0.635299981
58574,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2007,Sex,Female,0.675499976
58575,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2008,Sex,Female,0.685899973
58576,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2009,Sex,Female,0.725600004
58577,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2010,Sex,Female,0.743499994
58578,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2011,Sex,Female,0.749199986
58579,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2012,Sex,Female,0.733200014
58580,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2013,Sex,Female,0.756399989
58581,VEN,Latin America and the Caribbean,Not classified,"Venezuela, B. R.",2014,Sex,Female,0.761200011
58582,VNM,Eastern and South-eastern Asia,Lower middle income,Viet Nam,2009,Sex,Female,0.363400012
58583,ZAF,Sub-Saharan Africa,Upper middle income,South Africa,2011,Sex,Female,0.523899972
58584,ZAF,Sub-Saharan Africa,Upper middle income,South Africa,2016,Sex,Female,0.518000007
58585,ZMB,Sub-Saharan Africa,Lower middle income,Zambia,2010,Sex,Female,0.262899995
58586,ZMB,Sub-Saharan Africa,Lower middle income,Zambia,2018,Sex,Female,0.264999986
58587,ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe,2019,Sex,Female,0.117200002
58588,ALB,Europe and Northern America,Upper middle income,Albania,2017,Sex,Male,0.789399981
58589,ARG,Latin America and the Caribbean,Upper middle income,Argentina,2010,Sex,Male,0.494300008
58590,BEN,Sub-Saharan Africa,Lower middle income,Benin,2018,Sex,Male,0.120800003
58591,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2019,Sex,Male,0.315699995
58592,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2000,Sex,Male,0.465700001
58593,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2001,Sex,Male,0.567799985
58594,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2002,Sex,Male,0.483799994
58595,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2004,Sex,Male,0.560100019
58596,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2005,Sex,Male,0.619899988
58597,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2006,Sex,Male,0.576300025
58598,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2007,Sex,Male,0.660000026
58599,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2009,Sex,Male,0.668099999
58600,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2011,Sex,Male,0.674000025
58601,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2012,Sex,Male,0.675999999
58602,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2013,Sex,Male,0.763700008
58603,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2014,Sex,Male,0.683300018
58604,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2015,Sex,Male,0.715499997
58605,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2016,Sex,Male,0.764800012
58606,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2017,Sex,Male,0.760500014
58607,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2018,Sex,Male,0.750100017
58608,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2001,Sex,Male,0.396499991
58609,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2002,Sex,Male,0.426400006
58610,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2003,Sex,Male,0.458099991
58611,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2004,Sex,Male,0.479900002
58612,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2018,Sex,Male,0.621800005
58613,CHL,Latin America and the Caribbean,High income,Chile,2002,Sex,Male,0.6505
58614,CHL,Latin America and the Caribbean,High income,Chile,2003,Sex,Male,0.710099995
58615,CHL,Latin America and the Caribbean,High income,Chile,2006,Sex,Male,0.780600011
58616,CHL,Latin America and the Caribbean,High income,Chile,2009,Sex,Male,0.79339999
58617,CHL,Latin America and the Caribbean,High income,Chile,2017,Sex,Male,0.832700014
58618,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2005,Sex,Male,0.333000004
58619,COG,Sub-Saharan Africa,Lower middle income,Congo,2015,Sex,Male,0.279100001
58620,COL,Latin America and the Caribbean,Upper middle income,Colombia,2002,Sex,Male,0.511399984
58621,COL,Latin America and the Caribbean,Upper middle income,Colombia,2003,Sex,Male,0.515999973
58622,COL,Latin America and the Caribbean,Upper middle income,Colombia,2004,Sex,Male,0.540799975
58623,COL,Latin America and the Caribbean,Upper middle income,Colombia,2008,Sex,Male,0.593100011
58624,COL,Latin America and the Caribbean,Upper middle income,Colombia,2009,Sex,Male,0.581099987
